day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2017-08-28,0,4,54,186,85,0,0,0,0,0,0,137
2017-08-29,1,5,99,100,83,0,0,0,0,0,0,214
2017-08-30,1,1,0,0,0,0,0,0,0,0,0,9
2017-08-31,2,10,52,58,44,3,0,0,0,1,0,321
2017-09-01,0,6,49,151,92,0,0,0,0,0,0,253
2017-09-02,0,4,8,0,9,0,0,0,0,0,0,40
2017-09-03,0,32,78,102,65,1,0,0,0,0,0,402
2017-09-04,0,1,5,19,10,0,0,0,0,0,0,9
2017-09-05,0,8,97,113,118,0,0,0,0,0,0,257
2017-09-06,0,1,2,0,0,0,0,0,0,0,0,10
2017-09-07,1,10,75,137,87,0,0,0,0,0,0,426
2017-09-08,0,8,26,10,29,2,0,0,0,0,0,263
2017-09-09,0,4,5,0,1,0,0,0,0,0,0,66
2017-09-10,3,30,69,27,28,20,0,0,0,2,0,121
2017-09-11,0,2,9,2,8,2,0,0,0,0,0,22
2017-09-12,0,4,8,1,9,3,0,0,0,0,0,18
2017-09-13,0,4,8,0,1,0,0,0,0,0,0,52
2017-09-14,0,1,14,18,26,0,0,0,0,0,0,11
2017-09-15,0,1,1,0,2,0,0,0,0,0,0,0
2017-09-16,0,2,3,0,2,0,0,0,0,0,0,12
2017-09-17,0,1,3,0,2,0,0,0,0,0,0,10
2017-09-18,0,1,5,0,5,0,0,0,0,0,0,9
2017-09-19,0,6,21,42,14,0,0,0,0,0,0,136
2017-09-20,0,10,66,120,96,0,0,0,0,0,0,451
2017-09-21,0,9,93,126,88,0,0,0,0,0,0,278
2017-09-22,2,3,102,116,152,77,0,0,0,0,0,38
2017-09-23,8,0,238,425,367,55,0,0,0,1,0,0
2017-09-24,0,1,72,109,370,0,0,0,0,0,0,11
2017-09-25,4,5,42,92,404,12,0,0,0,0,0,14
2017-09-26,0,1,25,3,18,22,0,0,0,0,0,10
2017-09-27,0,1,11,4,10,0,0,0,0,0,0,10
2017-09-28,0,3,7,1,6,0,0,0,0,0,0,20
2017-09-29,0,1,2,0,2,0,0,0,0,0,0,10
2017-09-30,1,9,14,0,13,0,0,0,0,0,0,18
2017-10-01,0,1,3,0,3,0,0,0,0,0,0,11
2017-10-02,0,0,1,0,0,2,0,0,0,0,0,0
2017-10-03,1,3,2,0,3,0,0,0,0,0,0,10
2017-10-04,0,1,2,0,2,0,0,0,0,0,0,11
2017-10-05,0,14,98,330,197,114,0,0,0,0,0,763
2017-10-06,0,7,39,197,107,2,0,0,0,0,0,299
2017-10-07,0,7,58,208,85,20,0,0,0,0,0,221
2017-10-08,0,4,5,4,0,0,0,0,0,0,0,26
2017-10-09,0,4,90,60,188,56,0,0,0,0,0,167
2017-10-10,0,2,11,2,12,0,0,0,0,0,0,12
2017-10-11,1,2,5,0,5,0,0,0,0,0,0,24
2017-10-12,0,0,1,0,1,0,0,0,0,0,0,0
2017-10-13,0,5,11,0,7,0,0,0,0,0,0,111
2017-10-14,0,1,1,1,1,0,0,0,0,0,0,10
2017-10-15,0,7,53,94,66,0,0,0,0,0,0,298
2017-10-16,0,6,18,26,9,0,0,0,0,0,0,273
2017-10-17,0,5,90,100,94,0,0,0,0,1,0,118
2017-10-18,0,2,1,0,1,0,0,0,0,0,0,53
2017-10-19,0,1,1,0,1,0,0,0,0,0,0,12
2017-10-20,0,1,0,0,0,0,0,0,0,0,0,11
2017-10-21,0,0,23,73,20,0,0,0,0,0,0,0
2017-10-22,0,1,0,10,1,0,0,0,0,0,0,12
2017-10-23,1,5,98,282,185,1,0,0,0,0,0,117
2017-10-24,0,9,54,23,36,0,0,0,0,0,0,303
2017-10-25,0,1,18,26,9,0,0,0,0,0,0,52
2017-10-26,0,0,5,34,10,0,0,0,0,0,0,0
2017-10-27,0,1,31,54,43,1,0,0,0,0,0,11
2017-10-28,0,10,142,244,231,23,0,0,0,0,0,136
2017-10-29,0,1,44,56,46,0,0,0,0,0,0,0
2017-10-30,0,2,69,62,82,21,0,0,0,0,0,53
2017-10-31,0,1,16,10,12,0,0,0,0,0,0,61
2017-11-01,0,3,9,112,24,1,0,0,0,0,0,43
2017-11-02,0,3,38,30,75,1,0,0,0,0,0,73
2017-11-03,0,0,1,0,1,0,0,0,0,0,0,0
2017-11-04,0,3,12,162,148,0,0,0,0,0,0,68
2017-11-05,2,6,88,37,128,77,0,0,0,0,0,82
2017-11-06,0,7,22,5,7,1,0,0,0,0,0,9
2017-11-07,0,2,3,1,4,0,0,0,0,0,0,0
2017-11-08,0,3,7,4,3,0,0,0,0,0,0,40
2017-11-09,0,2,2,0,4,1,0,0,0,0,0,7
2017-11-10,0,2,23,101,31,1,0,0,0,0,0,16
2017-11-11,0,0,3,4,1,0,0,0,0,0,0,0
